,Country,Min,Max,alloc,bins,cut_idx,day,month,year
33,Chile,0.000208769904781,0.000835079619125,0.0006471867048218,"[0.00020814 0.0002714  0.00033403 0.00039666 0.00045929 0.00052192
 0.00058456 0.00064719 0.00070982 0.00077245 0.00083508]",7,16,2,2020
34,Mexico,0.00020647346880700002,0.0008258938752280001,0.0006400677533017001,"[0.00020585 0.00026842 0.00033036 0.0003923  0.00045424 0.00051618
 0.00057813 0.00064007 0.00070201 0.00076395 0.00082589]",7,16,2,2020
35,Saudi Arabia,0.00020540271134,0.0008216108453610001,0.0006367484051547001,"[0.00020479 0.00026702 0.00032864 0.00039027 0.00045189 0.00051351
 0.00057513 0.00063675 0.00069837 0.00075999 0.00082161]",7,16,2,2020
36,El Salvador,0.000195413135593,0.000781652542373,0.000605780720339,"[0.00019483 0.00025404 0.00031266 0.00037128 0.00042991 0.00048853
 0.00054716 0.00060578 0.0006644  0.00072303 0.00078165]",7,16,2,2020
37,Hong Kong,0.00019485513331000002,0.000779420533241,0.0006040509132617,"[0.00019427 0.00025331 0.00031177 0.00037022 0.00042868 0.00048714
 0.00054559 0.00060405 0.00066251 0.00072096 0.00077942]",7,16,2,2020
38,Ghana,0.000193482681564,0.0007739307262569999,0.0005997963128490999,"[0.0001929  0.00025153 0.00030957 0.00036762 0.00042566 0.00048371
 0.00054175 0.0005998  0.00065784 0.00071589 0.00077393]",7,16,2,2020
39,Poland,0.00019317658025200002,0.0007727063210080001,0.0005988473987812,"[0.0001926  0.00025113 0.00030908 0.00036704 0.00042499 0.00048294
 0.00054089 0.00059885 0.0006568  0.00071475 0.00077271]",7,16,2,2020
40,Gabon,0.0001915546875,0.00076621875,0.0005938195312499999,"[0.00019098 0.00024902 0.00030649 0.00036395 0.00042142 0.00047889
 0.00053635 0.00059382 0.00065129 0.00070875 0.00076622]",7,16,2,2020
41,Egypt,0.00017899594152,0.000715983766079,0.0005548874187113,"[0.00017846 0.00023269 0.00028639 0.00034009 0.00039379 0.00044749
 0.00050119 0.00055489 0.00060859 0.00066228 0.00071598]",7,16,2,2020
42,Hungary,0.000175776973684,0.000703107894737,0.0005449086184211,"[0.00017525 0.00022851 0.00028124 0.00033398 0.00038671 0.00043944
 0.00049218 0.00054491 0.00059764 0.00065037 0.00070311]",7,16,2,2020
43,Latvia,0.00017551120689700001,0.000702044827586,0.0005440847413793,"[0.00017498 0.00022816 0.00028082 0.00033347 0.00038612 0.00043878
 0.00049143 0.00054408 0.00059674 0.00064939 0.00070204]",7,16,2,2020
44,Paraguay,0.000175453125,0.0007018125,0.0005439046875,"[0.00017493 0.00022809 0.00028073 0.00033336 0.000386   0.00043863
 0.00049127 0.0005439  0.00059654 0.00064918 0.00070181]",7,16,2,2020
45,Peru,0.00017455974938099996,0.000698238997525,0.0005411352230818,"[0.00017404 0.00022693 0.0002793  0.00033166 0.00038403 0.0004364
 0.00048877 0.00054114 0.0005935  0.00064587 0.00069824]",7,16,2,2020
46,Solomon Islands,0.000172352675781,0.000689410703125,0.0005342932949218,"[0.00017184 0.00022406 0.00027576 0.00032747 0.00037918 0.00043088
 0.00048259 0.00053429 0.000586   0.0006377  0.00068941]",7,16,2,2020
47,Slovenia,0.000161438203125,0.0006457528125,0.0005004584296875,"[0.00016095 0.00020987 0.0002583  0.00030673 0.00035516 0.0004036
 0.00045203 0.00050046 0.00054889 0.00059732 0.00064575]",7,16,2,2020
48,Argentina,0.00015823852914899998,0.000632954116598,0.0004905394403633,"[0.00015776 0.00020571 0.00025318 0.00030065 0.00034812 0.0003956
 0.00044307 0.00049054 0.00053801 0.00058548 0.00063295]",7,16,2,2020
49,Uruguay,0.000158072339109,0.000632289356436,0.0004900242512379,"[0.0001576  0.00020549 0.00025292 0.00030034 0.00034776 0.00039518
 0.0004426  0.00049002 0.00053745 0.00058487 0.00063229]",7,16,2,2020
50,India,0.000157951354729,0.000631805418915,0.0004896491996592,"[0.00015748 0.00020534 0.00025272 0.00030011 0.00034749 0.00039488
 0.00044226 0.00048965 0.00053703 0.00058442 0.00063181]",7,16,2,2020
51,Russia,0.000154588747417,0.0006183549896660001,0.0004792251169913,"[0.00015412 0.00020097 0.00024734 0.00029372 0.0003401  0.00038647
 0.00043285 0.00047923 0.0005256  0.00057198 0.00061835]",7,16,2,2020
52,Morocco,0.000154452688806,0.000617810755226,0.00047880333530000003,"[0.00015399 0.00020079 0.00024712 0.00029346 0.0003398  0.00038613
 0.00043247 0.0004788  0.00052514 0.00057147 0.00061781]",7,16,2,2020
53,Thailand,0.00015395927943399998,0.000615837117737,0.0004772737662461,"[0.0001535  0.00020015 0.00024633 0.00029252 0.00033871 0.0003849
 0.00043109 0.00047727 0.00052346 0.00056965 0.00061584]",7,16,2,2020
54,Ukraine,0.000151522798021,0.000606091192085,0.00046972067386580004,"[0.00015107 0.00019698 0.00024244 0.00028789 0.00033335 0.00037881
 0.00042426 0.00046972 0.00051518 0.00056063 0.00060609]",7,16,2,2020
55,Philippines,0.000151061042884,0.000604244171537,0.0004682892329411,"[0.00015061 0.00019638 0.0002417  0.00028702 0.00033233 0.00037765
 0.00042297 0.00046829 0.00051361 0.00055893 0.00060424]",7,16,2,2020
56,Nepal,0.00015083795758899998,0.000603351830357,0.0004675976685266,"[0.00015039 0.00019609 0.00024134 0.00028659 0.00033184 0.00037709
 0.00042235 0.0004676  0.00051285 0.0005581  0.00060335]",7,16,2,2020
57,Malaysia,0.0001498778125,0.00059951125,0.00046462121875,"[0.00014943 0.00019484 0.0002398  0.00028477 0.00032973 0.00037469
 0.00041966 0.00046462 0.00050958 0.00055455 0.00059951]",7,16,2,2020
58,Colombia,0.000145334282695,0.00058133713078,0.0004505362763545,"[0.0001449  0.00018893 0.00023253 0.00027614 0.00031974 0.00036334
 0.00040694 0.00045054 0.00049414 0.00053774 0.00058134]",7,16,2,2020
59,Mongolia,0.000140180625,0.0005607225,0.0004345599375,"[0.00013976 0.00018223 0.00022429 0.00026634 0.0003084  0.00035045
 0.00039251 0.00043456 0.00047661 0.00051867 0.00056072]",7,16,2,2020
60,Maldives,0.00013902203125,0.000556088125,0.00043096829687499995,"[0.0001386  0.00018073 0.00022244 0.00026414 0.00030585 0.00034756
 0.00038926 0.00043097 0.00047267 0.00051438 0.00055609]",7,16,2,2020
